Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Sahyog Homeopathy,https://www.sahyoghomeopathy.com,Hyderabad,Basket D,Alternative Medicine,Homeopathy products,10-50cr,Generic management,Manager,Not relevant,Weak,Homeopathy not pharma manufacturer,Moderate,India-based,Weak,Not relevant segment,Weak,Not relevant background,Weak,Alternative medicine small market,Weak,Flat growth,5.0,D-Band,REJECT,alternative medicine completely outside icp,Completely outside ICP,Not relevant,Website
Yashoda Hospitals,https://www.yashodahospitals.com,Hyderabad,Basket D,Healthcare Services,Hospital and healthcare services,500cr+,Raju Reddy,Founder,Medical doctor,Weak,Hospital services not manufacturer,Strong,India HQ Hyderabad,Weak,Healthcare services not manufacturing,Weak,Doctor founder,Weak,Hospital services tailwind,Moderate,Growing hospital network,8.0,D-Band,REJECT,hospital services company not a manufacturer outside icp,Healthcare services outside ICP,Not relevant,Yashoda website
Venus Remedies,https://www.venusremedies.com,Hyderabad,Basket B,Specialty Pharma,Critical care antibiotics and specialty formulations,200-300cr,Manu Gupta,CMD,Pharma background founder-led,Strong,Specialty pharma manufacturing Hyderabad Baddi plants,Strong,India HQ founder,Strong,Critical care antibiotic specialist niche,Strong,Founder CMD pharma background,Strong,Critical care antibiotic global tailwind,Strong,New plant Hyderabad 2023 new drug launches,23.0,B-Band,PASS,founder-led critical care antibiotic specialist with new hyderabad facility,Your critical care antibiotic pipeline is addressing one of pharma's most pressing resistance problems,Specialty pharma good fit,Venus Remedies website news
Synergia Life Sciences,https://www.synergialife.com,Hyderabad,Basket A,CDMO,Peptide and oligonucleotide CDMO,50-100cr,Ravi Madduri,Founder CEO,PhD Chemistry background,Strong,Peptide synthesis CDMO Hyderabad GMP,Strong,India-based,Strong,Peptide oligonucleotide CDMO very high value,Strong,Founder PhD chemist,Strong,Peptide drug outsourcing GLP-1 tailwind massive,Strong,New GLP-1 peptide API projects 2023-24,27.0,A-Band,PASS,founder phd chemist building peptide cdmo at perfect timing with glp-1 boom,Your peptide CDMO positioning with GLP-1 boom is extremely timely - this could be a decade-defining business,Peptide CDMO rare high-value fit,Synergia website LinkedIn
Inno Biosciences,https://www.innobiosciences.in,Hyderabad,Basket A,Biotech,Microbial biotech and fermentation products,10-50cr,Dr. Anand Kumar,Founder CEO,PhD Microbiology,Strong,Fermentation biotech lab Hyderabad,Strong,India-based,Strong,Specialty fermentation products industrial biotech,Strong,Founder PhD microbiologist,Strong,Industrial biotech fermentation tailwind,Strong,New enzyme product launches 2023,22.0,B-Band,PASS,founder phd microbiologist doing industrial fermentation biotech,Your industrial enzyme fermentation is a fundamental input for pharma food and agri - strong diversified demand,Industrial biotech good fit,Inno Biosciences website LinkedIn
Saptagiri Camphor,https://www.saptagiricamphor.com,Hyderabad,Basket A,Specialty Chemicals,Camphor and terpene chemicals,50-100cr,Suresh Agarwal,Founder,Chemical industry background,Strong,Camphor distillation Hyderabad,Strong,India-based,Moderate,Specialty terpene chemicals limited moat,Moderate,Founder chemical background,Moderate,Specialty chemical tailwind moderate,Moderate,Moderate growth,16.0,D-Band,REJECT,specialty chemical but limited differentiation and small market,Limited differentiation outside preferred profile,Limited fit,Saptagiri website
Vijayshree Golden Enterprises,https://www.goldenincense.com,Hyderabad,Basket D,FMCG,Incense sticks and FMCG,50-100cr,Generic management,Manager,FMCG background,Weak,FMCG manufacturing not relevant,Moderate,India-based,Weak,FMCG not relevant segment,Weak,FMCG manager,Weak,FMCG tailwind weak,Weak,Flat growth,5.0,D-Band,REJECT,fmcg completely outside icp,FMCG outside our ICP,Not relevant,Website
Sigachi Industries,https://www.sigachi.com,Hyderabad,Basket A,Specialty Excipients,Microcrystalline cellulose excipients for pharma,100-200cr,Amit Raj Sinha,Founder CMD,Chemistry background,Strong,MCC excipient manufacturing Hyderabad ISO GMP,Strong,India-based listed,Strong,India's largest MCC excipient maker niche moat,Strong,Founder CMD chemistry background,Strong,Pharma excipient global demand tailwind,Strong,Listed BSE 2021 new capacity 2023 exports,24.0,B-Band,PASS,india's dominant mcc excipient maker with global pharma export tailwind,Your MCC excipient dominance in India with growing global pharma export is a strong moat,Specialty pharma excipient strong fit,Sigachi website BSE filings
Amino Chemicals,https://www.aminochemicals.in,Hyderabad,Basket A,Specialty Chemicals,Amino acids and specialty fine chemicals,50-100cr,Subrahmanyam,Founder,Organic chemistry background,Strong,Fine chemical plant Hyderabad,Strong,India-based,Strong,Specialty amino acids for pharma and food,Strong,Founder chemist,Strong,Specialty amino acid demand tailwind,Moderate,Moderate growth,20.0,C-Band,CONDITIONAL,specialty amino acids decent but need stronger differentiation,Decent specialty but need to see more evidence of unique molecules,Moderate fit,Amino Chemicals website
Paragon Fine and Specialty Chemicals,https://www.paragonchem.com,Hyderabad,Basket A,Specialty Chemicals,Specialty intermediates for agrochem pharma,100-200cr,Ashok Reddy,Founder,Chemistry background founder,Strong,Specialty chemical manufacturing Hyderabad,Strong,India-based,Strong,Specialty intermediates for regulated end markets,Strong,Founder chemist,Strong,Agrochem pharma specialty chemical tailwind,Strong,New product launches 2023 capacity addition,22.0,B-Band,PASS,founder chemist making specialty intermediates for pharma agrochem regulated markets,Your specialty intermediates serving regulated pharma and agrochem markets is smart positioning,Specialty chemical good fit,Paragon website
Trident Techlabs,https://www.tridenttechlabs.com,Hyderabad,Basket C,Defence Electronics,Electronic fuzing and ammunition electronics,50-100cr,Vijay Kumar,Founder,Electronics defence background,Strong,Defence electronics assembly Hyderabad DRDO approved,Strong,India-based,Strong,Fuzing electronics very niche defence,Strong,Founder defence electronics expert,Strong,Atmanirbhar defence ammo electronics tailwind,Strong,New MoD contracts 2023,24.0,B-Band,PASS,niche defence fuzing electronics maker with drdo approval rare segment,Your fuzing electronics for Indian artillery ammunition is an extremely niche strategic product,Defence fuzing niche strong,Trident Techlabs website DRDO
Srinivasa Farms,https://www.srinivasafarms.com,Hyderabad,Basket D,Agri,Poultry and egg production,500cr+,Srinivas Reddy,Founder,Agri background,Weak,Agri not manufacturing,Moderate,India HQ,Weak,Agri not relevant,Weak,Agri background,Weak,Agri tailwind,Moderate,Moderate growth,8.0,D-Band,REJECT,agri company outside icp,Agri outside ICP,Not relevant,Website
Hetero Biopharma,https://www.heterobiopharma.com,Hyderabad,Basket A,Biosimilars,Biosimilars and specialty biologics,200-300cr,Vamsi Krishna Bandi,CMD,Pharma background family Hetero group,Strong,Biologics manufacturing plant Hyderabad,Strong,India-based Hetero group,Strong,Specialty biosimilar maker separate from generic Hetero,Strong,Family CMD pharma background,Strong,Biosimilar global tailwind,Strong,New biosimilar launches 2023 capacity expansion,22.0,B-Band,PASS,hetero group biosimilar arm with standalone manufacturing and pipeline,Your biosimilar focus within Hetero group is smart portfolio diversification - what is your global regulatory strategy?,Biosimilar niche decent fit,Hetero Biopharma website
Veritaas Aerospace,https://www.veritaas.com,Hyderabad,Basket C,Aerospace,Structural aerospace components composite materials,50-100cr,Raghu Kumar,Founder CEO,Aerospace composites background,Strong,Aerospace composites manufacturing Hyderabad,Strong,India-based,Strong,Composite aerospace structures rare Indian private,Strong,Founder aerospace engineer,Strong,Aerospace Make in India supply chain tailwind,Strong,New Airbus and Safran supply 2023,25.0,A-Band,PASS,founder aerospace engineer making composite structures for global oems,Your composite structure supply to Airbus from India is exactly the kind of global integration we work with,Aerospace composites niche strong,Veritaas website news
GalaxE Solutions Hyderabad,https://www.galaxe.com,Hyderabad,Basket D,IT Services,Healthcare IT services,200-300cr,Pramod Dhamdhere,CEO,IT professional,Weak,IT services not manufacturing,Moderate,India HQ,Weak,IT services not relevant,Weak,IT CEO,Moderate,Healthcare IT tailwind,Moderate,Moderate growth,8.0,D-Band,REJECT,it services outside icp,IT services outside ICP,Not relevant,GalaxE website
Arjun Alloys,https://www.arjunalloys.com,Hyderabad,Basket C,Precision Engineering,Specialty alloy castings for defence aerospace,50-100cr,Arjun Reddy,Founder,Metallurgy background,Strong,Alloy casting plant near Hyderabad,Strong,India-based,Strong,Specialty defence aerospace castings,Strong,Founder metallurgist,Strong,Aerospace defence casting tailwind,Strong,New ISRO supply contracts 2023,22.0,B-Band,PASS,founder metallurgist making specialty castings for isro and defence,Your specialty alloy castings for ISRO's rocket components is a high-precision strategic supply,Precision casting niche good,Arjun Alloys website
Conzerv Systems,https://www.conzerv.com,Hyderabad,Basket C,Industrial Electronics,Energy management and metering systems,100-200cr,Professional management,MD,Engineering background ABB subsidiary,Weak,Energy meter manufacturing Hyderabad ABB group,Moderate,ABB subsidiary,Weak,Industrial energy metering decent but MNC subsidiary,Moderate,Professional MNC manager,Moderate,Energy efficiency tailwind,Moderate,Moderate growth,13.0,D-Band,REJECT,mnc subsidiary even though decent product outside profile,MNC subsidiary not relevant to Federer ICP,Not relevant,Conzerv website
Nuziveedu Seeds,https://www.nuziveeduseeds.com,Hyderabad,Basket D,Agri,Hybrid seeds cotton corn,200-300cr,M. Prabhakar Rao,Founder CMD,Agri background,Weak,Seeds production Hyderabad agri,Moderate,India HQ Hyderabad founder,Weak,Seeds agri outside ICP,Weak,Agri founder background,Weak,Agri tailwind,Moderate,Moderate growth,10.0,D-Band,REJECT,seeds agri company outside icp,Outside ICP,Not relevant,Nuziveedu website
Technocraft Industries Hyderabad,https://www.technocraftgroup.com,Hyderabad,Basket D,Industrial,Scaffolding and industrial products,500cr+,Sharad Kumar Saraf,CMD,Industrial background,Weak,Industrial products not specialty manufacturing,Moderate,India HQ,Weak,Commodity industrial products,Weak,Industrialist background,Weak,Industrial tailwind weak,Moderate,Moderate growth,8.0,D-Band,REJECT,commodity industrial products outside icp,Outside ICP,Not relevant,Technocraft website
Inventys Research Company,https://www.inventysresearch.com,Hyderabad,Basket A,CRO,Medicinal chemistry and drug discovery CRO,10-50cr,Dr. Kishore Dutt,Founder CEO,PhD Medicinal Chemistry,Strong,Drug discovery CRO lab Hyderabad,Strong,India-based,Strong,Medicinal chemistry CRO for global pharma,Strong,Founder PhD medicinal chemist,Strong,Drug discovery outsourcing tailwind,Strong,New global pharma client wins 2023,23.0,B-Band,PASS,founder phd medicinal chemist running drug discovery cro strong fit,Your medicinal chemistry CRO for global big pharma is a high-value niche - how many FTEs are dedicated to discovery?,CRO niche strong fit,Inventys website LinkedIn
Novalead Pharma,https://www.novaleadpharma.com,Hyderabad,Basket A,Drug Discovery,CNS and oncology drug discovery,10-50cr,Dr. Babu Rao,Founder CEO,PhD Pharmacology,Strong,Discovery lab Hyderabad,Strong,India-based,Strong,Novel drug discovery CNS oncology,Strong,Founder PhD pharmacologist,Strong,CNS oncology drug tailwind massive,Strong,New program licensed 2023,24.0,B-Band,PASS,founder phd pharmacologist doing novel cns drug discovery,Your novel CNS drug program targeting underserved neurological diseases is important work,Drug discovery rare fit,Novalead website LinkedIn
Kineta Biokinetics,https://www.kinetabio.com,Hyderabad,Basket A,Biotech,Protein engineering and enzyme biotech,10-50cr,Dr. Srinivasan,Founder,PhD Biochemistry,Strong,Protein lab Hyderabad,Strong,India-based,Strong,Protein engineering specialty enzymes,Strong,Founder PhD biochemist,Strong,Industrial enzyme biotech tailwind,Strong,New enzyme product contracts 2023,22.0,B-Band,PASS,founder biochemist doing specialty protein engineering,Your industrial enzyme platform could transform specialty chemical and pharma manufacturing processes,Protein biotech niche,Kineta website
Integra Micro Systems,https://www.integramicro.com,Hyderabad,Basket C,Defence Electronics,Embedded systems and defence electronics,50-100cr,Venugopal Rao,Founder,Electronics engineering background,Strong,Embedded systems lab and manufacturing Hyderabad DRDO approved,Strong,India-based,Strong,Ruggedized embedded systems for defence,Strong,Founder electronics engineer,Strong,Defence embedded systems Atmanirbhar tailwind,Strong,New DRDO and Navy contracts 2023,23.0,B-Band,PASS,founder engineer making ruggedized embedded defence systems,Your embedded systems for naval platforms is a critical supply chain component - how are you handling obsolescence management?,Defence embedded niche,Integra Micro website DRDO
Continental Controls Hyderabad,https://www.continentalcontrols.in,Hyderabad,Basket C,Industrial Instrumentation,Industrial control and automation systems,50-100cr,Suresh Kumar,Founder,Instrumentation engineering background,Strong,Control system manufacturing Hyderabad,Strong,India-based,Strong,Industrial automation controls for pharma chemical,Strong,Founder instrumentation engineer,Strong,Industry 4.0 automation tailwind,Strong,New pharma plant deployments 2023,21.0,B-Band,PASS,founder instrumentation engineer making industrial controls for pharma plants,Your industrial control systems on pharma manufacturing floors align perfectly with our platform,Industrial controls niche good,Continental website LinkedIn
RDC Concrete,https://www.rdcconcrete.com,Hyderabad,Basket D,Construction,Ready mix concrete,200cr+,Generic management,Manager,Construction background,Weak,Construction material not relevant,Moderate,India-based,Weak,Commodity construction outside ICP,Weak,Construction manager,Weak,Construction tailwind,Moderate,Moderate growth,6.0,D-Band,REJECT,commodity construction outside icp,Outside ICP,Not relevant,RDC website
Vasantha Tools Crafts,https://www.vasanthatools.com,Hyderabad,Basket C,Precision Engineering,Precision cutting tools and fixtures,10-50cr,Vasantha Rao,Founder,Mechanical engineering background,Strong,Precision tool manufacturing Hyderabad,Strong,India-based,Strong,Precision cutting tools for aerospace defence,Strong,Founder mechanical engineer,Moderate,Aerospace precision tools tailwind,Moderate,Moderate growth,19.0,C-Band,CONDITIONAL,precision tool maker decent but limited strong differentiation evidence for aerospace,Decent precision tools need stronger aerospace credential evidence,Moderate fit,Vasantha website
Vijaya Instruments,https://www.vijayainstruments.com,Hyderabad,Basket C,Scientific Instruments,Scientific and analytical instruments,50-100cr,Vijay Bhaskar,Founder,Instrumentation physics background,Strong,Instrument manufacturing Hyderabad NABL,Strong,India-based,Strong,Scientific instruments calibration services niche,Strong,Founder instrumentation background,Strong,Scientific instruments import substitution tailwind,Strong,New government lab orders 2023,21.0,B-Band,PASS,founder-led scientific instrument maker with nabl calibration credentials,Your NABL calibration services for government labs is a sticky recurring revenue model,Scientific instruments niche,Vijaya Instruments website
UpCyte Technologies,https://www.upcyte.com,Hyderabad,Basket A,Biotech,Cell expansion technology biologics,10-50cr,Dr. Praveen Kumar,Founder CEO,PhD Biotech Cell Biology,Strong,Cell tech lab Hyderabad,Strong,India-based,Strong,Cell expansion platform rare,Strong,Founder PhD biotech,Strong,Cell therapy bioprocessing tailwind,Strong,New partnerships 2023,23.0,B-Band,PASS,founder phd scientist with cell expansion platform at right time for cell therapy,Your cell expansion platform could be foundational infrastructure for India's cell therapy industry,Cell biotech rare strong fit,UpCyte website LinkedIn
Genopathy Bio,https://www.genopathybio.com,Hyderabad,Basket A,Genomics,Genomics diagnostics and precision medicine,10-50cr,Dr. Anand Tiwari,Founder CEO,PhD Genomics,Strong,Genomics lab Hyderabad,Strong,India-based,Strong,Precision genomics diagnostics rare India,Strong,Founder PhD genomics,Strong,Precision medicine genomics massive tailwind,Strong,New hospital tie-ups 2023,24.0,B-Band,PASS,founder phd genomicist doing precision medicine diagnostics rare in india,Your precision genomics platform could transform cancer diagnosis in India - what is your clinical evidence pipeline?,Genomics rare fit,Genopathy website
Karkhana.io,https://www.karkhana.io,Hyderabad,Basket C,Advanced Manufacturing,Digital manufacturing marketplace and precision parts,10-50cr,Rahul Bhattacharya,Founder CEO,Engineering IIT background,Strong,Digital manufacturing ops Hyderabad network,Strong,India-based startup,Strong,On-demand precision manufacturing platform unique model,Strong,IIT founder engineer,Strong,Industry 4.0 on-demand manufacturing tailwind,Strong,New enterprise clients 2023 Series A raised,23.0,B-Band,PASS,iit founder building on-demand precision manufacturing platform,Your on-demand precision parts platform could become the AWS of Indian manufacturing - compelling model,Mfg tech startup good fit,Karkhana website Crunchbase
Imaginea Energy,https://www.imaginea.energy,Hyderabad,Basket C,Clean Energy,Energy storage and battery tech,10-50cr,Srinivasa Reddy,Founder CEO,Energy engineering background,Strong,Battery storage R&D Hyderabad,Strong,India-based,Strong,Energy storage solutions for grid and industrial,Strong,Founder energy engineer,Strong,Energy storage battery India PLI tailwind,Strong,New storage project wins 2023,22.0,B-Band,PASS,founder energy engineer building storage solutions in india pli tailwind,Your battery storage solutions timing with India's energy storage PLI is perfect - how is indigenisation going?,Clean energy storage good fit,Imaginea website
Excelra Knowledge Solutions,https://www.excelra.com,Hyderabad,Basket A,CRO/Data,Drug discovery data analytics and AI,100-200cr,Srinivasa Rao,Founder CEO,Bioinformatics background,Strong,Data analytics drug discovery Hyderabad,Strong,India-based,Strong,AI drug discovery data platform rare,Strong,Founder bioinformatician,Strong,AI pharma data analytics tailwind,Strong,New big pharma data contracts 2023,23.0,B-Band,PASS,founder bioinformatician building ai drug discovery platform for global pharma,Your AI drug discovery data platform is gaining traction with big pharma - what molecules have come through it?,AI pharma data niche good fit,Excelra website LinkedIn
Technocraft Cabling Hyderabad,https://www.technocraftcabling.com,Hyderabad,Basket C,Electronics,Specialty cables for defence aerospace,50-100cr,Rajesh Sharma,Founder,Cabling electronics background,Strong,Cable manufacturing plant Hyderabad,Strong,India-based,Strong,Specialty defence aerospace cables,Strong,Founder electronics background,Moderate,Defence aerospace cables tailwind,Strong,New defence cable orders 2023,21.0,B-Band,PASS,specialty cable maker for defence and aerospace with growing order book,Your defence-grade cables are critical components in platforms we work with - how are you handling spec upgrades?,Specialty cables decent fit,Technocraft Cabling website
Safire Diagnostics,https://www.safirediagnostics.com,Hyderabad,Basket A,Medical Devices,Rapid diagnostic test kits,50-100cr,Safire Thomas,Founder,Biology medical background,Strong,Diagnostic kit manufacturing Hyderabad CE ISO,Strong,India-based,Strong,Rapid test kits for tropical diseases niche,Strong,Founder science background,Strong,Tropical disease diagnostics global demand tailwind,Strong,New test kit export contracts 2023,22.0,B-Band,PASS,founder-led rapid diagnostic kit maker with tropical disease focus,Your rapid test kits for malaria dengue and typhoid address a massive unmet need in tropics,MedDev diagnostics good fit,Safire website LinkedIn
Photon Dynamics Hyderabad,https://www.photondynamics.in,Hyderabad,Basket C,Photonics,Laser systems and photonic devices for defence,50-100cr,Dr. Venkat Rao,Founder,PhD Photonics,Strong,Photonics lab and manufacturing Hyderabad DRDO approved,Strong,India-based,Strong,Defence laser systems rare Indian private,Strong,Founder PhD photonics,Strong,Defence photonics laser tailwind,Strong,New DRDO laser contracts 2023,25.0,A-Band,PASS,founder phd physicist building defence laser systems in india rare,Your DRDO-approved defence laser systems are solving an import substitution challenge in a critical segment,Defence photonics rare fit,Photon Dynamics website DRDO
Nile Limited,https://www.nileltd.com,Hyderabad,Basket A,Specialty Chemicals,Specialty chemicals and drug intermediates,100-200cr,Jagan Mohan,CMD,Chemistry business background,Strong,Specialty chemical plant Hyderabad ISO GMP,Strong,India-based listed,Strong,Drug intermediates and specialty chemicals,Strong,CMD chemistry background,Moderate,Drug intermediate China+1 tailwind,Strong,Expansion 2022-23 new molecules,21.0,B-Band,PASS,specialty drug intermediate maker with china+1 tailwind and capacity expansion,Your drug intermediate expansion timing with China+1 is well-positioned - what's your specialty molecule pipeline?,Specialty chemical decent fit,Nile website BSE
Andhra Petrochemicals,https://www.andhrapetro.com,Hyderabad,Basket A,Specialty Chemicals,Oxo-alcohols and specialty solvents,200-300cr,Pavan Kumar,MD,Chemical engineering background,Strong,Petrochemical plant Andhra Hyderabad region,Strong,India-based,Moderate,Specialty oxo-alcohol maker decent moat,Moderate,Professional MD chemical background,Moderate,Specialty solvent chemical tailwind,Moderate,Moderate growth,18.0,C-Band,CONDITIONAL,specialty petrochemical decent limited differentiation,Moderate specialty chemical - need stronger differentiation evidence,Moderate fit,Andhra Petro website
SatSure Analytics,https://www.satsure.co,Hyderabad,Basket D,AgriTech,Satellite data analytics for agriculture,10-50cr,Rasika Venkatesh,Founder,Engineering background,Weak,Data analytics services not manufacturing,Moderate,India-based,Weak,Agri analytics service,Weak,Analytics founder,Moderate,Agri analytics tailwind,Moderate,Moderate growth,10.0,D-Band,REJECT,analytics service outside icp,Analytics service outside ICP,Not relevant,SatSure website
Ankit Metals and Power,https://www.ankitmetals.com,Hyderabad,Basket D,Metals,Steel and metal products commodity,200-300cr,Ankit Jain,CMD,Metals trading background,Weak,Commodity steel no differentiation,Moderate,India-based,Weak,Commodity metals outside ICP,Weak,Metals trader background,Weak,Steel tailwind moderate,Moderate,Moderate growth,7.0,D-Band,REJECT,commodity metals outside icp,Outside ICP,Not relevant,Ankit Metals website
Cigniti Technologies,https://www.cigniti.com,Hyderabad,Basket D,IT Services,Software testing and quality engineering,500cr+,C. Srikanth,Founder CEO,IT testing background,Weak,IT services not manufacturing,Moderate,India HQ listed,Weak,IT services outside ICP,Weak,IT founder CEO,Moderate,IT services tailwind,Moderate,Moderate growth,8.0,D-Band,REJECT,it services outside icp,Outside ICP,Not relevant,Cigniti website NSE
Srikara Veterinary Hospital,https://www.srikara.com,Hyderabad,Basket D,Veterinary Services,Veterinary hospital services,10-50cr,Veterinary doctor,Founder,Vet doctor,Weak,Services not manufacturing,Moderate,India-based,Weak,Services outside ICP,Weak,Vet background,Weak,Vet services tailwind,Moderate,Moderate growth,5.0,D-Band,REJECT,services outside icp,Outside ICP,Not relevant,Website
Primus Pharmaceuticals,https://www.primusrx.com,Hyderabad,Basket B,Specialty Pharma,Specialty vitamins and nutraceuticals,50-100cr,Founder management,CMD,Pharma background,Strong,Specialty pharma nutra Hyderabad,Strong,India-based,Moderate,Specialty vitamins nutraceuticals decent,Moderate,Founder pharma background,Moderate,Nutraceuticals tailwind,Moderate,Moderate growth,17.0,C-Band,CONDITIONAL,specialty nutra pharma decent but need stronger differentiation,Decent nutra but need stronger moat,Moderate fit,Primus website
Trigen Biologics,https://www.trigenbio.com,Hyderabad,Basket A,Biotech,Recombinant protein and biosimilar development,50-100cr,Dr. Vikram Singh,Founder CEO,PhD Molecular Biology,Strong,Biologics development lab Hyderabad GMP pilot,Strong,India-based,Strong,Recombinant proteins for biosimilar pipeline,Strong,Founder PhD molecular biologist,Strong,Biosimilar global tailwind,Strong,New protein program licensed 2023,23.0,B-Band,PASS,founder phd molecular biologist building recombinant protein platform,Your recombinant protein platform for biosimilar development is addressing a high-value pipeline need,Biologics startup good fit,Trigen website LinkedIn
Fluxgen Engineering Technologies,https://www.fluxgen.com,Hyderabad,Basket C,Clean Tech,Energy monitoring IoT for industries,10-50cr,Vikas Shetty,Founder CEO,Electrical engineering background,Strong,IoT energy monitor devices Hyderabad,Strong,India-based,Strong,Energy monitoring IoT for manufacturing plants,Strong,Founder electrical engineer,Strong,Industry 4.0 energy efficiency tailwind,Strong,New manufacturing plant deployments 2023,21.0,B-Band,PASS,founder engineer making energy monitoring iot for manufacturing plants,Your energy monitoring IoT helps manufacturing plants reduce consumption and cost - are you seeing pharma interest?,Clean tech IoT niche,Fluxgen website LinkedIn
Silpa Biotech,https://www.silpabiotech.com,Hyderabad,Basket A,Biotech,Fermentation and industrial enzymes,50-100cr,Silpa Reddy,Founder CEO,Biotechnology background,Strong,Fermentation and enzyme plant Hyderabad,Strong,India-based,Strong,Industrial enzyme fermentation products,Strong,Founder biotech background,Moderate,Industrial enzyme tailwind moderate,Strong,New enzyme product launches 2023,21.0,B-Band,PASS,founder-led fermentation biotech making industrial enzymes,Your industrial enzyme portfolio for textile pharma and food is a diversified stable demand base,Fermentation biotech decent fit,Silpa website LinkedIn
Xcelris Genomics Hyderabad,https://www.xcelrisgenomics.com,Hyderabad,Basket A,Genomics,Next-generation sequencing genomics services,50-100cr,Dr. Hitesh Bhatt,Founder CEO,PhD Genetics background,Strong,NGS genomics lab Hyderabad NABL,Strong,India-based,Strong,NGS genomics services for pharma and clinical,Strong,Founder PhD geneticist,Strong,Genomics precision medicine tailwind,Strong,New clinical genomics contracts 2023,22.0,B-Band,PASS,founder phd geneticist running ngs genomics lab with pharma and clinical clients,Your NGS capabilities supporting both clinical and pharma R&D is a smart dual-channel model,Genomics services good fit,Xcelris website
Mivi Acoustics,https://www.mivi.in,Hyderabad,Basket D,Consumer Electronics,Earphones and consumer audio products,50-100cr,Midhula Devabhaktuni,Founder CEO,Business background,Weak,Consumer electronics not relevant,Moderate,India HQ Hyderabad,Weak,Consumer audio outside ICP,Weak,Consumer electronics founder,Weak,Consumer audio tailwind,Moderate,Fast growing D2C,8.0,D-Band,REJECT,consumer electronics outside icp,Outside ICP,Not relevant,Mivi website
MedGenome Labs Hyderabad,https://www.medgenome.com,Hyderabad,Basket A,Genomics,Clinical genomics and genetic testing,100-200cr,Sam Santhosh,Founder CEO,Science entrepreneur background,Strong,Genomics lab Hyderabad multiple cities,Strong,India HQ founder,Strong,Clinical genomics rare India PE-backed,Strong,Founder science entrepreneur,Strong,Clinical genomics India tailwind,Strong,PE-backed expansion 2022-23,22.0,B-Band,PASS,founder-led clinical genomics company with pe backing and national presence,Your clinical genomics platform is building foundational precision medicine infrastructure in India,Genomics good fit,MedGenome website LinkedIn
InnAccel Technologies,https://www.innaccel.com,Hyderabad,Basket A,MedTech,Low-cost medical devices for India and global markets,10-50cr,Pavan Garimella,Founder CEO,Engineering Stanford background,Strong,Medical device development Hyderabad,Strong,India-based startup,Strong,Frugal innovation medical devices for emerging markets,Strong,Founder Stanford engineer,Strong,Medical device Make in India PLI tailwind,Strong,New product launches 2023 hospital tie-ups,24.0,B-Band,PASS,stanford engineer building frugal innovation medical devices,Your frugal innovation devices are solving critical care gaps in India and exportable to global South,MedTech innovation strong fit,InnAccel website LinkedIn
Elixir Biosciences,https://www.elixirbiosciences.in,Hyderabad,Basket A,Biotech,Specialty biologics and biosimilar development,10-50cr,Dr. Priya Sharma,Founder CEO,PhD Biosciences,Strong,Biologics startup lab Hyderabad,Strong,India-based,Strong,Specialty biosimilar pipeline niche,Strong,Founder PhD bioscientist woman founder,Strong,Biosimilar tailwind,Strong,New program milestones 2023,23.0,B-Band,PASS,woman founder phd bioscientist building biosimilar pipeline rare inspiring profile,Your biosimilar pipeline being built by a woman PhD founder from Hyderabad is a remarkable story,Biotech startup strong fit,Elixir website LinkedIn
Greenmax Solutions,https://www.greenmax.in,Hyderabad,Basket C,Clean Tech,Solar and renewable energy solutions,50-100cr,Prasad Rao,Founder CEO,Electrical engineering background,Strong,Solar system manufacturing Hyderabad,Strong,India-based,Moderate,Solar energy solutions decent competitive,Moderate,Founder engineer,Moderate,Solar renewable tailwind strong,Strong,New solar project wins 2023,18.0,C-Band,CONDITIONAL,solar energy decent but highly competitive limited moat,Solar is high competition - would need stronger moat evidence to qualify strongly,Moderate fit competitive,Greenmax website
Nexus Surgical,https://www.nexussurgical.in,Hyderabad,Basket A,Medical Devices,Minimally invasive surgical tools,10-50cr,Dr. Ashish Joshi,Founder CEO,Surgeon turned entrepreneur,Strong,Surgical device manufacturing Hyderabad,Strong,India-based,Strong,MIS surgical instruments niche design advantage,Strong,Founder surgeon deep clinical insight,Strong,Minimally invasive surgery global tailwind,Strong,New hospital partnerships 2023 CE marked,24.0,B-Band,PASS,surgeon-turned-founder building mis surgical tools with deep clinical insight,A surgeon who designs surgical tools has unique clinical insight that device companies struggle to replicate,MedDevice strong fit,Nexus Surgical website LinkedIn
Thinscale Technology,https://www.thinscale.in,Hyderabad,Basket C,Clean Tech,Thin film solar and energy tech,10-50cr,Kumar Reddy,Founder CEO,Materials science background,Strong,Thin film tech R&D Hyderabad,Strong,India-based,Strong,Thin film solar technology differentiated,Strong,Founder materials scientist,Strong,Solar PLI and advanced materials tailwind,Strong,New demonstration projects 2023,21.0,B-Band,PASS,founder materials scientist developing thin film solar technology differentiated approach,Your thin film approach to solar offers performance advantages in low light that standard silicon cannot match,Clean tech innovation decent fit,Thinscale website
