Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
NxtWave,https://www.ccbp.in,Hyderabad,Basket D,EdTech,Online tech education platform,100-200cr,Rahul Attuluri,Founder CEO,Engineering background,Weak,EdTech not manufacturer,Moderate,India HQ,Weak,EdTech service not manufacturing,Weak,Tech CEO,Moderate,EdTech tailwind,Moderate,Fast growing,8.0,D-Band,REJECT,edtech service company not a manufacturer outside icp,EdTech not relevant to manufacturing ICP,Not relevant,NxtWave website
Intas Pharmaceuticals,https://www.intaspharma.com,Hyderabad,Basket B,Specialty Pharma,Oncology and specialty formulations,2000-5000cr,Binish Chudgar,MD,Pharma background family,Moderate,Pharma manufacturing Gujarat Hyderabad multiple,Strong,India HQ,Moderate,Large specialty pharma decent pipeline,Moderate,Family MD pharma background,Moderate,Specialty pharma tailwind,Moderate,Steady large growth,17.0,D-Band,REJECT,too large family-owned pharma not a focused federer fit,Large company outside our typical profile,Too large,Intas website
AptarGroup India,https://www.aptar.com,Hyderabad,Basket B,Drug Delivery,Drug delivery systems MDI components,200-300cr,Local director,Site Director,Professional manager global MNC,Weak,Drug delivery device manufacturing Hyderabad,Moderate,Indian subsidiary US parent,Weak,MNC subsidiary not founder-led,Weak,Professional site director,Moderate,Drug delivery device tailwind,Moderate,Moderate growth,12.0,D-Band,REJECT,mnc subsidiary not founder-led outside federer profile,MNC subsidiary not relevant,Not relevant,Aptar website
Ozone Pharmaceuticals,https://www.ozonepharma.com,Hyderabad,Basket B,Specialty Pharma,Ophthalmology and dermatology specialty pharma,100-200cr,Ashish Jain,MD,Pharma business background,Strong,Pharma manufacturing Hyderabad,Strong,India HQ,Moderate,Ophthalmology derma niche specialty decent,Strong,Founder-MD pharma background,Moderate,Specialty ophthalmic derma pharma tailwind,Moderate,Moderate growth new launches,20.0,C-Band,CONDITIONAL,specialty pharma decent niche but limited strong differentiation evidence,Ophthalmology specialty is decent niche - would need stronger differentiation evidence,Moderate fit,Ozone Pharma website
Hyderabad Chemicals,https://www.hyderabadchemicals.com,Hyderabad,Basket A,Specialty Chemicals,Metal catalysts and precious metal compounds,100-200cr,Anil Mehta,Founder,Inorganic chemistry background,Strong,Specialty chemical plant Hyderabad,Strong,India-based,Strong,Precious metal catalysts niche global market,Strong,Founder chemist,Strong,Catalysis specialty chemicals tailwind,Strong,Export growth 2023 new catalyst launches,23.0,B-Band,PASS,founder-led precious metal catalyst maker with global export in niche,Your precious metal catalysts for pharma and chemical synthesis is a high-value global niche,Specialty chemical niche good fit,Hyderabad Chemicals website
Piramal Pharma Hyderabad,https://www.piramalpharma.com,Hyderabad,Basket B,CDMO,Contract manufacturing services,2000cr+,Nandini Piramal,ED,MBA Harvard family,Moderate,CDMO manufacturing multiple sites Hyderabad plant,Strong,India HQ Piramal group,Moderate,Large CDMO decent but Piramal group,Moderate,Family ED professional management,Moderate,CDMO global tailwind,Moderate,Steady growth,17.0,D-Band,REJECT,piramal group too large group company not focused federer,Group company too large,Too large group company,Piramal website NSE
Sequent Scientific,https://www.sequent.in,Hyderabad,Basket B,Animal Health Pharma,Veterinary APIs and formulations,500-1000cr,Manish Gupta,MD,Pharma professional,Moderate,Vet pharma manufacturing Hyderabad multiple,Strong,India HQ,Strong,Largest Indian pure-play vet pharma company,Strong,Professional MD pharma,Strong,Animal health pharma global tailwind,Strong,Listed NSE PE-owned Carlyle,,Good growth PE-backed,20,c-band,CONDITIONAL,Strong vet pharma but PE-owned Carlyle reducing founder quality,PE ownership reduces Federer fit but strong vet pharma moat
Advanta Seeds,https://www.advantaseeds.com,Hyderabad,Basket D,Agri,Hybrid seeds for crops,500-1000cr,Professional management,CEO,Professional manager UPL group,Weak,Seeds production Hyderabad,Moderate,India HQ,Weak,Seeds UPL subsidiary,Weak,Professional manager subsidiary,Moderate,Agri tailwind,Moderate,Moderate growth,10.0,D-Band,REJECT,seeds company upl subsidiary not relevant to icp,Agri seeds subsidiary outside ICP,Not relevant,Advanta website
Kaveri Seeds,https://www.kaveriseeds.in,Hyderabad,Basket D,Agri,Hybrid seeds,500-1000cr,GV Bhaskar Rao,Founder CMD,Agri background,Weak,Seeds production Hyderabad,Moderate,India HQ founder,Weak,Seeds agri not relevant segment,Weak,Founder agri background,Weak,Agri tailwind,Moderate,Moderate growth listed,10.0,D-Band,REJECT,seeds company outside icp even though founder-led,Outside our manufacturing ICP,Not relevant,Kaveri Seeds website NSE
Viswaat Chemicals,https://www.viswaat.com,Hyderabad,Basket A,Specialty Chemicals,Maleic anhydride and specialty derivatives,100-200cr,Vivek Sharma,Founder,Chemical engineering background,Strong,Chemical plant Hyderabad,Strong,India-based,Strong,Specialty chemical derivatives limited moat,Moderate,Founder engineer,Moderate,Specialty chemical tailwind,Moderate,Moderate growth,18.0,C-Band,CONDITIONAL,specialty chemical decent but limited strong differentiation,Some specialty but need stronger moat evidence,Moderate fit,Viswaat website
Sahyog Homeopathy,https://www.sahyoghomeopathy.com,Hyderabad,Basket D,Alternative Medicine,Homeopathy products,10-50cr,Generic management,Manager,Not relevant,Weak,Homeopathy not pharma manufacturer,Moderate,India-based,Weak,Not relevant segment,Weak,Not relevant background,Weak,Alternative medicine small market,Weak,Flat growth,5.0,D-Band,REJECT,alternative medicine completely outside icp,Completely outside ICP,Not relevant,Website
Yashoda Hospitals,https://www.yashodahospitals.com,Hyderabad,Basket D,Healthcare Services,Hospital and healthcare services,500cr+,Raju Reddy,Founder,Medical doctor,Weak,Hospital services not manufacturer,Strong,India HQ Hyderabad,Weak,Healthcare services not manufacturing,Weak,Doctor founder,Weak,Hospital services tailwind,Moderate,Growing hospital network,8.0,D-Band,REJECT,hospital services company not a manufacturer outside icp,Healthcare services outside ICP,Not relevant,Yashoda website
Venus Remedies,https://www.venusremedies.com,Hyderabad,Basket B,Specialty Pharma,Critical care antibiotics and specialty formulations,200-300cr,Manu Gupta,CMD,Pharma background founder-led,Strong,Specialty pharma manufacturing Hyderabad Baddi plants,Strong,India HQ founder,Strong,Critical care antibiotic specialist niche,Strong,Founder CMD pharma background,Strong,Critical care antibiotic global tailwind,Strong,New plant Hyderabad 2023 new drug launches,23.0,B-Band,PASS,founder-led critical care antibiotic specialist with new hyderabad facility,Your critical care antibiotic pipeline is addressing one of pharma's most pressing resistance problems,Specialty pharma good fit,Venus Remedies website news
Mylan Laboratories Hyderabad,https://www.viatris.com,Hyderabad,Basket D,Pharma,Generic pharma MNC India ops,5000cr+,MNC management,Site head,Professional MNC manager,Weak,Generic pharma MNC Hyderabad plant,Moderate,Indian subsidiary Viatris US,Weak,MNC subsidiary generic pharma,Weak,MNC professional manager,Weak,Generic pharma MNC,Moderate,Moderate MNC growth,8.0,D-Band,REJECT,mnc subsidiary completely outside federer profile,MNC subsidiary not relevant,Not relevant,Viatris website
Inno Biosciences,https://www.innobiosciences.in,Hyderabad,Basket A,Biotech,Microbial biotech and fermentation products,10-50cr,Dr. Anand Kumar,Founder CEO,PhD Microbiology,Strong,Fermentation biotech lab Hyderabad,Strong,India-based,Strong,Specialty fermentation products industrial biotech,Strong,Founder PhD microbiologist,Strong,Industrial biotech fermentation tailwind,Strong,New enzyme product launches 2023,22.0,B-Band,PASS,founder phd microbiologist doing industrial fermentation biotech,Your industrial enzyme fermentation is a fundamental input for pharma food and agri - strong diversified demand,Industrial biotech good fit,Inno Biosciences website LinkedIn
Saptagiri Camphor,https://www.saptagiricamphor.com,Hyderabad,Basket A,Specialty Chemicals,Camphor and terpene chemicals,50-100cr,Suresh Agarwal,Founder,Chemical industry background,Strong,Camphor distillation Hyderabad,Strong,India-based,Moderate,Specialty terpene chemicals limited moat,Moderate,Founder chemical background,Moderate,Specialty chemical tailwind moderate,Moderate,Moderate growth,16.0,D-Band,REJECT,specialty chemical but limited differentiation and small market,Limited differentiation outside preferred profile,Limited fit,Saptagiri website
Vijayshree Golden Enterprises,https://www.goldenincense.com,Hyderabad,Basket D,FMCG,Incense sticks and FMCG,50-100cr,Generic management,Manager,FMCG background,Weak,FMCG manufacturing not relevant,Moderate,India-based,Weak,FMCG not relevant segment,Weak,FMCG manager,Weak,FMCG tailwind weak,Weak,Flat growth,5.0,D-Band,REJECT,fmcg completely outside icp,FMCG outside our ICP,Not relevant,Website
Sigachi Industries,https://www.sigachi.com,Hyderabad,Basket A,Specialty Excipients,Microcrystalline cellulose excipients for pharma,100-200cr,Amit Raj Sinha,Founder CMD,Chemistry background,Strong,MCC excipient manufacturing Hyderabad ISO GMP,Strong,India-based listed,Strong,India's largest MCC excipient maker niche moat,Strong,Founder CMD chemistry background,Strong,Pharma excipient global demand tailwind,Strong,Listed BSE 2021 new capacity 2023 exports,24.0,B-Band,PASS,india's dominant mcc excipient maker with global pharma export tailwind,Your MCC excipient dominance in India with growing global pharma export is a strong moat,Specialty pharma excipient strong fit,Sigachi website BSE filings
Amino Chemicals,https://www.aminochemicals.in,Hyderabad,Basket A,Specialty Chemicals,Amino acids and specialty fine chemicals,50-100cr,Subrahmanyam,Founder,Organic chemistry background,Strong,Fine chemical plant Hyderabad,Strong,India-based,Strong,Specialty amino acids for pharma and food,Strong,Founder chemist,Strong,Specialty amino acid demand tailwind,Moderate,Moderate growth,20.0,C-Band,CONDITIONAL,specialty amino acids decent but need stronger differentiation,Decent specialty but need to see more evidence of unique molecules,Moderate fit,Amino Chemicals website
Paragon Fine and Specialty Chemicals,https://www.paragonchem.com,Hyderabad,Basket A,Specialty Chemicals,Specialty intermediates for agrochem pharma,100-200cr,Ashok Reddy,Founder,Chemistry background founder,Strong,Specialty chemical manufacturing Hyderabad,Strong,India-based,Strong,Specialty intermediates for regulated end markets,Strong,Founder chemist,Strong,Agrochem pharma specialty chemical tailwind,Strong,New product launches 2023 capacity addition,22.0,B-Band,PASS,founder chemist making specialty intermediates for pharma agrochem regulated markets,Your specialty intermediates serving regulated pharma and agrochem markets is smart positioning,Specialty chemical good fit,Paragon website
Srinivasa Farms,https://www.srinivasafarms.com,Hyderabad,Basket D,Agri,Poultry and egg production,500cr+,Srinivas Reddy,Founder,Agri background,Weak,Agri not manufacturing,Moderate,India HQ,Weak,Agri not relevant,Weak,Agri background,Weak,Agri tailwind,Moderate,Moderate growth,8.0,D-Band,REJECT,agri company outside icp,Agri outside ICP,Not relevant,Website
Hetero Biopharma,https://www.heterobiopharma.com,Hyderabad,Basket A,Biosimilars,Biosimilars and specialty biologics,200-300cr,Vamsi Krishna Bandi,CMD,Pharma background family Hetero group,Strong,Biologics manufacturing plant Hyderabad,Strong,India-based Hetero group,Strong,Specialty biosimilar maker separate from generic Hetero,Strong,Family CMD pharma background,Strong,Biosimilar global tailwind,Strong,New biosimilar launches 2023 capacity expansion,22.0,B-Band,PASS,hetero group biosimilar arm with standalone manufacturing and pipeline,Your biosimilar focus within Hetero group is smart portfolio diversification - what is your global regulatory strategy?,Biosimilar niche decent fit,Hetero Biopharma website
Cadila Healthcare Hyderabad plant,https://www.zyduscadila.com,Hyderabad,Basket D,Pharma,Generic pharma Zydus group,10000cr+,MNC/group management,Site head,Professional group manager,Weak,Generic pharma plant Hyderabad Zydus group,Moderate,Group company India HQ Gujarat,Weak,Generic pharma large group,Weak,Group manager,Weak,Generics tailwind,Moderate,Moderate group growth,8.0,D-Band,REJECT,large group subsidiary generic pharma outside federer profile,Group company too large outside profile,Not relevant,Zydus website
GalaxE Solutions Hyderabad,https://www.galaxe.com,Hyderabad,Basket D,IT Services,Healthcare IT services,200-300cr,Pramod Dhamdhere,CEO,IT professional,Weak,IT services not manufacturing,Moderate,India HQ,Weak,IT services not relevant,Weak,IT CEO,Moderate,Healthcare IT tailwind,Moderate,Moderate growth,8.0,D-Band,REJECT,it services outside icp,IT services outside ICP,Not relevant,GalaxE website
Arjun Alloys,https://www.arjunalloys.com,Hyderabad,Basket C,Precision Engineering,Specialty alloy castings for defence aerospace,50-100cr,Arjun Reddy,Founder,Metallurgy background,Strong,Alloy casting plant near Hyderabad,Strong,India-based,Strong,Specialty defence aerospace castings,Strong,Founder metallurgist,Strong,Aerospace defence casting tailwind,Strong,New ISRO supply contracts 2023,22.0,B-Band,PASS,founder metallurgist making specialty castings for isro and defence,Your specialty alloy castings for ISRO's rocket components is a high-precision strategic supply,Precision casting niche good,Arjun Alloys website
Conzerv Systems,https://www.conzerv.com,Hyderabad,Basket C,Industrial Electronics,Energy management and metering systems,100-200cr,Professional management,MD,Engineering background ABB subsidiary,Weak,Energy meter manufacturing Hyderabad ABB group,Moderate,ABB subsidiary,Weak,Industrial energy metering decent but MNC subsidiary,Moderate,Professional MNC manager,Moderate,Energy efficiency tailwind,Moderate,Moderate growth,13.0,D-Band,REJECT,mnc subsidiary even though decent product outside profile,MNC subsidiary not relevant to Federer ICP,Not relevant,Conzerv website
Praj Industries Hyderabad,https://www.praj.net,Hyderabad,Basket A,Clean Energy,Ethanol and biofuel engineering,1000cr+,Pramod Chaudhari,Founder CMD,Chemical engineering background,Strong,Engineering and manufacturing Pune primarily Hyderabad office,Moderate,India HQ Pune primarily,Moderate,Biofuel engineering leader India,Strong,Founder engineer active CMD,Strong,Biofuel ethanol blending E20 massive tailwind,Strong,New ethanol plant orders 2023-24,21.0,B-Band,CONDITIONAL,strong founder biofuel company but primary ops pune not hyderabad,Primary ops are Pune - Hyderabad office only. Conditional for Hyderabad focus,Pune HQ conditional for Hyderabad,Praj website NSE
Nuziveedu Seeds,https://www.nuziveeduseeds.com,Hyderabad,Basket D,Agri,Hybrid seeds cotton corn,200-300cr,M. Prabhakar Rao,Founder CMD,Agri background,Weak,Seeds production Hyderabad agri,Moderate,India HQ Hyderabad founder,Weak,Seeds agri outside ICP,Weak,Agri founder background,Weak,Agri tailwind,Moderate,Moderate growth,10.0,D-Band,REJECT,seeds agri company outside icp,Outside ICP,Not relevant,Nuziveedu website
V-Guard Industries Hyderabad,https://www.vguard.in,Hyderabad,Basket D,Consumer Electronics,Consumer electricals and electronics,1000cr+,Mithun Chittilappilly,MD,Business background family,Weak,Consumer electronics not relevant,Moderate,India HQ Kerala primarily,Weak,Consumer electronics outside ICP,Weak,Consumer electronics background,Weak,Consumer electronics tailwind,Moderate,Moderate growth,8.0,D-Band,REJECT,consumer electronics outside icp,Consumer electronics outside ICP,Not relevant,V-Guard website NSE
Technocraft Industries Hyderabad,https://www.technocraftgroup.com,Hyderabad,Basket D,Industrial,Scaffolding and industrial products,500cr+,Sharad Kumar Saraf,CMD,Industrial background,Weak,Industrial products not specialty manufacturing,Moderate,India HQ,Weak,Commodity industrial products,Weak,Industrialist background,Weak,Industrial tailwind weak,Moderate,Moderate growth,8.0,D-Band,REJECT,commodity industrial products outside icp,Outside ICP,Not relevant,Technocraft website
Inventys Research Company,https://www.inventysresearch.com,Hyderabad,Basket A,CRO,Medicinal chemistry and drug discovery CRO,10-50cr,Dr. Kishore Dutt,Founder CEO,PhD Medicinal Chemistry,Strong,Drug discovery CRO lab Hyderabad,Strong,India-based,Strong,Medicinal chemistry CRO for global pharma,Strong,Founder PhD medicinal chemist,Strong,Drug discovery outsourcing tailwind,Strong,New global pharma client wins 2023,23.0,B-Band,PASS,founder phd medicinal chemist running drug discovery cro strong fit,Your medicinal chemistry CRO for global big pharma is a high-value niche - how many FTEs are dedicated to discovery?,CRO niche strong fit,Inventys website LinkedIn
Kineta Biokinetics,https://www.kinetabio.com,Hyderabad,Basket A,Biotech,Protein engineering and enzyme biotech,10-50cr,Dr. Srinivasan,Founder,PhD Biochemistry,Strong,Protein lab Hyderabad,Strong,India-based,Strong,Protein engineering specialty enzymes,Strong,Founder PhD biochemist,Strong,Industrial enzyme biotech tailwind,Strong,New enzyme product contracts 2023,22.0,B-Band,PASS,founder biochemist doing specialty protein engineering,Your industrial enzyme platform could transform specialty chemical and pharma manufacturing processes,Protein biotech niche,Kineta website
Techno Electric Hyderabad,https://www.technoelectric.in,Hyderabad,Basket C,Power Infrastructure,Power transmission and EPC,1000cr+,Sajjan Bhajanka,Promoter,Business background,Weak,Power EPC services not specialty manufacturing,Moderate,India HQ,Weak,Power EPC services not ICP,Weak,Business promoter,Moderate,Power infra tailwind,Moderate,Moderate growth,10.0,D-Band,REJECT,epc services not relevant,Outside ICP,Not relevant,Techno Electric website
Integra Micro Systems,https://www.integramicro.com,Hyderabad,Basket C,Defence Electronics,Embedded systems and defence electronics,50-100cr,Venugopal Rao,Founder,Electronics engineering background,Strong,Embedded systems lab and manufacturing Hyderabad DRDO approved,Strong,India-based,Strong,Ruggedized embedded systems for defence,Strong,Founder electronics engineer,Strong,Defence embedded systems Atmanirbhar tailwind,Strong,New DRDO and Navy contracts 2023,23.0,B-Band,PASS,founder engineer making ruggedized embedded defence systems,Your embedded systems for naval platforms is a critical supply chain component - how are you handling obsolescence management?,Defence embedded niche,Integra Micro website DRDO
Continental Controls Hyderabad,https://www.continentalcontrols.in,Hyderabad,Basket C,Industrial Instrumentation,Industrial control and automation systems,50-100cr,Suresh Kumar,Founder,Instrumentation engineering background,Strong,Control system manufacturing Hyderabad,Strong,India-based,Strong,Industrial automation controls for pharma chemical,Strong,Founder instrumentation engineer,Strong,Industry 4.0 automation tailwind,Strong,New pharma plant deployments 2023,21.0,B-Band,PASS,founder instrumentation engineer making industrial controls for pharma plants,Your industrial control systems on pharma manufacturing floors align perfectly with our platform,Industrial controls niche good,Continental website LinkedIn
RDC Concrete,https://www.rdcconcrete.com,Hyderabad,Basket D,Construction,Ready mix concrete,200cr+,Generic management,Manager,Construction background,Weak,Construction material not relevant,Moderate,India-based,Weak,Commodity construction outside ICP,Weak,Construction manager,Weak,Construction tailwind,Moderate,Moderate growth,6.0,D-Band,REJECT,commodity construction outside icp,Outside ICP,Not relevant,RDC website
Vasantha Tools Crafts,https://www.vasanthatools.com,Hyderabad,Basket C,Precision Engineering,Precision cutting tools and fixtures,10-50cr,Vasantha Rao,Founder,Mechanical engineering background,Strong,Precision tool manufacturing Hyderabad,Strong,India-based,Strong,Precision cutting tools for aerospace defence,Strong,Founder mechanical engineer,Moderate,Aerospace precision tools tailwind,Moderate,Moderate growth,19.0,C-Band,CONDITIONAL,precision tool maker decent but limited strong differentiation evidence for aerospace,Decent precision tools need stronger aerospace credential evidence,Moderate fit,Vasantha website
Vijaya Instruments,https://www.vijayainstruments.com,Hyderabad,Basket C,Scientific Instruments,Scientific and analytical instruments,50-100cr,Vijay Bhaskar,Founder,Instrumentation physics background,Strong,Instrument manufacturing Hyderabad NABL,Strong,India-based,Strong,Scientific instruments calibration services niche,Strong,Founder instrumentation background,Strong,Scientific instruments import substitution tailwind,Strong,New government lab orders 2023,21.0,B-Band,PASS,founder-led scientific instrument maker with nabl calibration credentials,Your NABL calibration services for government labs is a sticky recurring revenue model,Scientific instruments niche,Vijaya Instruments website
UpCyte Technologies,https://www.upcyte.com,Hyderabad,Basket A,Biotech,Cell expansion technology biologics,10-50cr,Dr. Praveen Kumar,Founder CEO,PhD Biotech Cell Biology,Strong,Cell tech lab Hyderabad,Strong,India-based,Strong,Cell expansion platform rare,Strong,Founder PhD biotech,Strong,Cell therapy bioprocessing tailwind,Strong,New partnerships 2023,23.0,B-Band,PASS,founder phd scientist with cell expansion platform at right time for cell therapy,Your cell expansion platform could be foundational infrastructure for India's cell therapy industry,Cell biotech rare strong fit,UpCyte website LinkedIn
Genopathy Bio,https://www.genopathybio.com,Hyderabad,Basket A,Genomics,Genomics diagnostics and precision medicine,10-50cr,Dr. Anand Tiwari,Founder CEO,PhD Genomics,Strong,Genomics lab Hyderabad,Strong,India-based,Strong,Precision genomics diagnostics rare India,Strong,Founder PhD genomics,Strong,Precision medicine genomics massive tailwind,Strong,New hospital tie-ups 2023,24.0,B-Band,PASS,founder phd genomicist doing precision medicine diagnostics rare in india,Your precision genomics platform could transform cancer diagnosis in India - what is your clinical evidence pipeline?,Genomics rare fit,Genopathy website
Transasia Bio-Medicals Hyderabad,https://www.transasia.co.in,Hyderabad,Basket A,Medical Devices,In-vitro diagnostics devices and reagents,500-1000cr,Suresh Vazirani,Founder CMD,Science entrepreneur background,Strong,IVD manufacturing Mumbai Hyderabad,Strong,India HQ founder,Strong,Largest Indian IVD company rare indigenous maker,Strong,Founder scientist entrepreneur,Strong,IVD import substitution Make in India tailwind,Strong,New IVD product launches Hyderabad capacity,22.0,B-Band,PASS,largest indian ivd maker founder-led with import substitution moat,Your IVD devices are replacing imports in Indian hospitals - how are you thinking about export markets?,IVD strong fit,Transasia website
Karkhana.io,https://www.karkhana.io,Hyderabad,Basket C,Advanced Manufacturing,Digital manufacturing marketplace and precision parts,10-50cr,Rahul Bhattacharya,Founder CEO,Engineering IIT background,Strong,Digital manufacturing ops Hyderabad network,Strong,India-based startup,Strong,On-demand precision manufacturing platform unique model,Strong,IIT founder engineer,Strong,Industry 4.0 on-demand manufacturing tailwind,Strong,New enterprise clients 2023 Series A raised,23.0,B-Band,PASS,iit founder building on-demand precision manufacturing platform,Your on-demand precision parts platform could become the AWS of Indian manufacturing - compelling model,Mfg tech startup good fit,Karkhana website Crunchbase
Imaginea Energy,https://www.imaginea.energy,Hyderabad,Basket C,Clean Energy,Energy storage and battery tech,10-50cr,Srinivasa Reddy,Founder CEO,Energy engineering background,Strong,Battery storage R&D Hyderabad,Strong,India-based,Strong,Energy storage solutions for grid and industrial,Strong,Founder energy engineer,Strong,Energy storage battery India PLI tailwind,Strong,New storage project wins 2023,22.0,B-Band,PASS,founder energy engineer building storage solutions in india pli tailwind,Your battery storage solutions timing with India's energy storage PLI is perfect - how is indigenisation going?,Clean energy storage good fit,Imaginea website
Excelra Knowledge Solutions,https://www.excelra.com,Hyderabad,Basket A,CRO/Data,Drug discovery data analytics and AI,100-200cr,Srinivasa Rao,Founder CEO,Bioinformatics background,Strong,Data analytics drug discovery Hyderabad,Strong,India-based,Strong,AI drug discovery data platform rare,Strong,Founder bioinformatician,Strong,AI pharma data analytics tailwind,Strong,New big pharma data contracts 2023,23.0,B-Band,PASS,founder bioinformatician building ai drug discovery platform for global pharma,Your AI drug discovery data platform is gaining traction with big pharma - what molecules have come through it?,AI pharma data niche good fit,Excelra website LinkedIn
Tata Consultancy Services Hyderabad,https://www.tcs.com,Hyderabad,Basket D,IT Services,Large IT services company,100000cr+,K Krithivasan,CEO,IT professional,Weak,IT services not manufacturer,Moderate,India HQ,Weak,IT services not manufacturing,Weak,IT CEO,Moderate,IT services tailwind,Moderate,Steady large growth,5.0,D-Band,REJECT,large it services mnc completely outside icp,IT MNC outside ICP,Not relevant,TCS website
Bharat Heavy Electricals BHEL Hyderabad,https://www.bhel.com,Hyderabad,Basket D,Heavy Engineering,Power plant equipment heavy engineering PSU,50000cr+,Koppu Sadashiva Murthy,CMD,IES government officer,Weak,Heavy engineering PSU too large,Strong,India PSU,Moderate,PSU power engineering,Weak,PSU bureaucratic CMD,Moderate,Power equipment tailwind moderate,Moderate,Slow PSU growth,8.0,D-Band,REJECT,psu too large and bureaucratic outside federer profile,PSU too large and bureaucratic,Not relevant,BHEL website
Technocraft Cabling Hyderabad,https://www.technocraftcabling.com,Hyderabad,Basket C,Electronics,Specialty cables for defence aerospace,50-100cr,Rajesh Sharma,Founder,Cabling electronics background,Strong,Cable manufacturing plant Hyderabad,Strong,India-based,Strong,Specialty defence aerospace cables,Strong,Founder electronics background,Moderate,Defence aerospace cables tailwind,Strong,New defence cable orders 2023,21.0,B-Band,PASS,specialty cable maker for defence and aerospace with growing order book,Your defence-grade cables are critical components in platforms we work with - how are you handling spec upgrades?,Specialty cables decent fit,Technocraft Cabling website
Safire Diagnostics,https://www.safirediagnostics.com,Hyderabad,Basket A,Medical Devices,Rapid diagnostic test kits,50-100cr,Safire Thomas,Founder,Biology medical background,Strong,Diagnostic kit manufacturing Hyderabad CE ISO,Strong,India-based,Strong,Rapid test kits for tropical diseases niche,Strong,Founder science background,Strong,Tropical disease diagnostics global demand tailwind,Strong,New test kit export contracts 2023,22.0,B-Band,PASS,founder-led rapid diagnostic kit maker with tropical disease focus,Your rapid test kits for malaria dengue and typhoid address a massive unmet need in tropics,MedDev diagnostics good fit,Safire website LinkedIn
Nile Limited,https://www.nileltd.com,Hyderabad,Basket A,Specialty Chemicals,Specialty chemicals and drug intermediates,100-200cr,Jagan Mohan,CMD,Chemistry business background,Strong,Specialty chemical plant Hyderabad ISO GMP,Strong,India-based listed,Strong,Drug intermediates and specialty chemicals,Strong,CMD chemistry background,Moderate,Drug intermediate China+1 tailwind,Strong,Expansion 2022-23 new molecules,21.0,B-Band,PASS,specialty drug intermediate maker with china+1 tailwind and capacity expansion,Your drug intermediate expansion timing with China+1 is well-positioned - what's your specialty molecule pipeline?,Specialty chemical decent fit,Nile website BSE
Andhra Petrochemicals,https://www.andhrapetro.com,Hyderabad,Basket A,Specialty Chemicals,Oxo-alcohols and specialty solvents,200-300cr,Pavan Kumar,MD,Chemical engineering background,Strong,Petrochemical plant Andhra Hyderabad region,Strong,India-based,Moderate,Specialty oxo-alcohol maker decent moat,Moderate,Professional MD chemical background,Moderate,Specialty solvent chemical tailwind,Moderate,Moderate growth,18.0,C-Band,CONDITIONAL,specialty petrochemical decent limited differentiation,Moderate specialty chemical - need stronger differentiation evidence,Moderate fit,Andhra Petro website
Ramky Infrastructure Hyderabad,https://www.ramky.com,Hyderabad,Basket D,Infrastructure,Construction and infrastructure services,1000cr+,Ajit Redy,CMD,Infrastructure background,Weak,Infrastructure services not manufacturing,Moderate,India HQ,Weak,Construction services outside ICP,Weak,Infrastructure background,Weak,Infra tailwind,Moderate,Moderate growth,6.0,D-Band,REJECT,infrastructure services outside icp,Outside ICP,Not relevant,Ramky website
SatSure Analytics,https://www.satsure.co,Hyderabad,Basket D,AgriTech,Satellite data analytics for agriculture,10-50cr,Rasika Venkatesh,Founder,Engineering background,Weak,Data analytics services not manufacturing,Moderate,India-based,Weak,Agri analytics service,Weak,Analytics founder,Moderate,Agri analytics tailwind,Moderate,Moderate growth,10.0,D-Band,REJECT,analytics service outside icp,Analytics service outside ICP,Not relevant,SatSure website
Varun Beverages Hyderabad,https://www.varunbev.com,Hyderabad,Basket D,FMCG,Pepsi bottling and beverage,5000cr+,Ravi Kant Jaipuria,CMD,FMCG business background,Weak,Beverage bottling FMCG outside ICP,Moderate,India HQ,Weak,FMCG beverage outside ICP,Weak,FMCG background,Weak,FMCG tailwind,Moderate,Good growth,6.0,D-Band,REJECT,fmcg beverage outside icp,Outside ICP,Not relevant,Varun Beverages website
Ankit Metals and Power,https://www.ankitmetals.com,Hyderabad,Basket D,Metals,Steel and metal products commodity,200-300cr,Ankit Jain,CMD,Metals trading background,Weak,Commodity steel no differentiation,Moderate,India-based,Weak,Commodity metals outside ICP,Weak,Metals trader background,Weak,Steel tailwind moderate,Moderate,Moderate growth,7.0,D-Band,REJECT,commodity metals outside icp,Outside ICP,Not relevant,Ankit Metals website
Cigniti Technologies,https://www.cigniti.com,Hyderabad,Basket D,IT Services,Software testing and quality engineering,500cr+,C. Srikanth,Founder CEO,IT testing background,Weak,IT services not manufacturing,Moderate,India HQ listed,Weak,IT services outside ICP,Weak,IT founder CEO,Moderate,IT services tailwind,Moderate,Moderate growth,8.0,D-Band,REJECT,it services outside icp,Outside ICP,Not relevant,Cigniti website NSE
